"Site","Time","Landscape","Species","Abundance","SiteTime"
"Forest_Site1","May","Forest","Bird 15",97,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 16",168,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 17",188,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 18",157,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 19",99,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 2",78,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 20",94,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 22",122,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 23",116,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 25",85,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 26",149,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 27",169,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 28",123,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 29",141,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 3",143,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 30",108,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 31",183,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 32",124,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 33",74,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 34",168,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 35",163,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 36",60,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 37",149,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 38",52,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 39",104,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 4",145,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 40",82,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 41",195,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 42",146,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 43",73,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 44",119,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 46",159,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 47",172,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 48",75,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 49",97,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 5",55,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 50",59,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 6",59,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 8",186,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 9",181,"Forest_Site1_May"
"Forest_Site1","September","Forest","Bird 10",107,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 11",126,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 12",184,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 14",174,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 15",173,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 17",195,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 18",180,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 19",132,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 2",188,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 20",192,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 21",184,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 23",95,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 24",185,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 26",161,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 27",54,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 28",58,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 31",83,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 32",114,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 33",200,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 34",197,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 35",148,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 36",128,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 37",74,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 38",113,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 39",152,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 4",58,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 40",51,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 41",188,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 42",156,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 43",194,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 44",148,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 45",67,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 47",149,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 5",179,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 50",89,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 7",59,"Forest_Site1_September"
"Forest_Site1","September","Forest","Bird 9",80,"Forest_Site1_September"
"Forest_Site2","January","Forest","Bird 10",186,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 11",126,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 12",50,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 14",133,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 15",103,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 16",158,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 17",143,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 20",79,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 21",156,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 22",88,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 23",153,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 24",69,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 26",91,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 27",170,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 28",174,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 29",101,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 30",137,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 34",132,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 35",65,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 36",71,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 38",157,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 39",134,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 4",85,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 40",60,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 42",97,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 43",191,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 44",126,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 45",185,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 46",65,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 49",160,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 5",95,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 6",108,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 7",142,"Forest_Site2_January"
"Forest_Site2","January","Forest","Bird 8",103,"Forest_Site2_January"
"Forest_Site2","May","Forest","Bird 1",128,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 10",164,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 11",166,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 13",88,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 14",97,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 15",164,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 16",59,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 17",109,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 18",115,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 19",164,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 2",113,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 20",137,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 21",199,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 22",96,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 24",179,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 25",157,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 26",77,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 28",136,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 29",66,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 3",116,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 30",72,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 31",98,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 32",180,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 33",72,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 34",95,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 36",144,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 37",168,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 39",161,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 4",94,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 41",181,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 42",127,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 43",135,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 44",157,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 45",185,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 46",184,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 47",110,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 48",69,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 49",197,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 5",73,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 50",200,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 6",82,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 7",172,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 8",108,"Forest_Site2_May"
"Forest_Site2","May","Forest","Bird 9",85,"Forest_Site2_May"
"Forest_Site2","September","Forest","Bird 1",97,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 10",120,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 11",59,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 12",121,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 13",84,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 14",193,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 15",103,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 16",124,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 17",91,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 18",136,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 19",178,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 2",76,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 20",149,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 22",74,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 23",93,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 24",197,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 25",105,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 26",126,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 27",177,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 28",148,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 29",85,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 3",101,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 30",84,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 32",114,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 33",142,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 34",64,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 35",159,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 36",96,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 37",62,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 38",174,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 39",77,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 4",125,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 41",83,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 42",78,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 43",141,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 44",165,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 45",143,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 46",75,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 47",135,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 48",62,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 49",84,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 5",86,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 50",143,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 6",54,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 7",136,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 8",175,"Forest_Site2_September"
"Forest_Site2","September","Forest","Bird 9",59,"Forest_Site2_September"
"Forest_Site3","January","Forest","Bird 10",159,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 11",106,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 13",194,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 18",178,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 20",115,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 23",76,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 24",75,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 25",183,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 26",56,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 27",94,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 29",183,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 30",74,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 31",185,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 32",182,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 33",90,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 38",53,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 39",166,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 40",72,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 41",142,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 42",123,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 43",130,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 44",134,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 47",197,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 48",78,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 49",104,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 5",195,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 50",63,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 7",162,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 8",140,"Forest_Site3_January"
"Forest_Site3","January","Forest","Bird 9",155,"Forest_Site3_January"
"Forest_Site3","May","Forest","Bird 1",183,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 10",57,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 11",138,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 12",68,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 13",134,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 14",113,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 15",167,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 16",186,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 17",157,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 18",117,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 19",169,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 2",165,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 20",118,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 21",169,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 22",128,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 23",200,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 24",136,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 25",155,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 26",147,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 27",51,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 28",105,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 29",121,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 3",124,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 30",64,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 31",85,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 32",60,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 33",171,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 34",155,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 35",110,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 36",182,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 37",117,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 38",130,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 39",53,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 4",167,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 40",95,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 41",177,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 42",68,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 43",125,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 44",84,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 45",116,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 46",113,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 47",67,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 48",178,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 49",160,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 5",56,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 50",157,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 6",180,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 7",98,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 8",63,"Forest_Site3_May"
"Forest_Site3","May","Forest","Bird 9",139,"Forest_Site3_May"
"Forest_Site3","September","Forest","Bird 1",172,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 10",140,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 12",199,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 13",70,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 14",52,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 16",152,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 17",79,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 18",138,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 19",128,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 2",105,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 20",72,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 21",65,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 22",84,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 23",143,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 25",145,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 26",75,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 27",145,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 28",100,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 29",179,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 3",182,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 30",60,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 32",195,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 34",106,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 36",192,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 37",60,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 38",164,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 39",128,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 4",194,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 41",163,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 42",118,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 43",85,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 44",126,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 46",199,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 47",160,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 49",157,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 50",111,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 6",168,"Forest_Site3_September"
"Forest_Site3","September","Forest","Bird 7",150,"Forest_Site3_September"
"Urban_Site1","January","Urban","Bird 17",24,"Urban_Site1_January"
"Urban_Site1","January","Urban","Bird 18",63,"Urban_Site1_January"
"Urban_Site1","January","Urban","Bird 20",37,"Urban_Site1_January"
"Urban_Site1","January","Urban","Bird 28",67,"Urban_Site1_January"
"Urban_Site1","January","Urban","Bird 29",76,"Urban_Site1_January"
"Urban_Site1","January","Urban","Bird 31",2,"Urban_Site1_January"
"Urban_Site1","January","Urban","Bird 33",42,"Urban_Site1_January"
"Urban_Site1","January","Urban","Bird 40",82,"Urban_Site1_January"
"Urban_Site1","January","Urban","Bird 41",13,"Urban_Site1_January"
"Urban_Site1","January","Urban","Bird 45",49,"Urban_Site1_January"
"Urban_Site1","January","Urban","Bird 46",13,"Urban_Site1_January"
"Urban_Site1","January","Urban","Bird 48",2,"Urban_Site1_January"
"Urban_Site1","January","Urban","Bird 6",49,"Urban_Site1_January"
"Urban_Site1","January","Urban","Bird 7",2,"Urban_Site1_January"
"Urban_Site1","May","Urban","Bird 10",74,"Urban_Site1_May"
"Urban_Site1","May","Urban","Bird 11",31,"Urban_Site1_May"
"Urban_Site1","May","Urban","Bird 23",59,"Urban_Site1_May"
"Urban_Site1","May","Urban","Bird 24",11,"Urban_Site1_May"
"Urban_Site1","May","Urban","Bird 29",45,"Urban_Site1_May"
"Urban_Site1","May","Urban","Bird 3",60,"Urban_Site1_May"
"Urban_Site1","May","Urban","Bird 32",10,"Urban_Site1_May"
"Urban_Site1","May","Urban","Bird 37",89,"Urban_Site1_May"
"Urban_Site1","May","Urban","Bird 38",74,"Urban_Site1_May"
"Urban_Site1","May","Urban","Bird 4",79,"Urban_Site1_May"
"Urban_Site1","May","Urban","Bird 49",35,"Urban_Site1_May"
"Urban_Site1","May","Urban","Bird 5",24,"Urban_Site1_May"
"Urban_Site1","September","Urban","Bird 19",45,"Urban_Site1_September"
"Urban_Site1","September","Urban","Bird 46",48,"Urban_Site1_September"
